"diameter"
939.4
513
246.596
525.4
106.699
185.18
199.83
147.491
190
407.12
142.887
115.087
202.636
152
231.689
226
84.899
139.594
200
135.680
95.76
167.536
107.53
198
61.054
94.80
96
120.90
189.559
92.787
267.080
80.76
52.929
132.992
103.055
132.842
108.35
92.255
179.484
111.251
205.495
110.997
71.340
70.64
202.327
131.471
168.174
216.473
166.252
84.074
138.159
303.918
97.262
160.120
84.794
121.333
112.59
106.517
165.119
43.218
85.937
106.921
116.044
58.292
237.26
71.82
56.309
122.509
138.13
127.911
83.42
74.966
44.590
118.71
62.377
145.423
61.390
120.60
63.479
68.563
117.727
57.621
110.503
79.16
154.79
109.929
253.051
232
145.483
115.974
103.402
126.42
154.155
204.89
147.969
177.774
100.717
132.788
67.354
85.734
65.84
82.595
83.908
136.553
94.864
207.869
210.370
75.498
82.588
86.09
126.344
69.818
50.137
94.178
79.83
71.70
208.974
40.211
57.30
155.132
209.00
70.676
45.209
88.648
48.418
44.82
122
162.515
113
180.652
31.337
42.87
72.175
108
79.24
36.893
128.678
52.905
151.116
109.79
117.916
54.812
95.377
142.38
127.783
160.310
132.93
97.75
23.719
119.128
39.037
58.964
170.63
192.611
39.605
143.346
19.959
39.025
125.236
81.24
40.992
97.021
81.579
100.254
180.083
52.393
39.935
145.366
37.517
33.136
130.808
62.43
125.821
64.849
94.532
106.976
69.049
35.81
69.946
23.440
115.383
39.520
32.927
62.483
160.464
49.99
147.294
35.752
38.490
159
94.536
98.776
26.302
161.667
93.109
144.626
31.729
54.323
76.129
128.301
85.877
86.15
124.592
48.566
76.983
113
57.880
40.056
179.008
86.65
141.125
136.12
82.096
24.957
35.210
122
65.392
60.62
37.674
31.738
95.469
55.350
79.806
58.236
95.934
31.494
123.891
9.30
105.912
111.332
73.545
54.730
99.672
45.476
57.517
77.708
41.08
155.659
37.609
87.928
168.90
40.802
32
11.077
75.949
50.891
130.935
50.120
34.83
120.995
27.495
65.344
52.8
12.467
56.939
66.634
72.66
64.78
174.318
101.539
50.011
14.645
23.952
62.969
22.767
109.494
55.998
144.585
50.728
51.400
65.901
26.870
29.768
27.307
103
114.723
30.422
32.773
126.59
45.69
11.036
39.03
132.385
52.95
47.156
94.30
59.615
28.981
37.586
9.822
10.456
30.864
57.486
51.865
28.340
8.196
39.48
21.135
15.757
67.373
53.042
38.53
124.923
65.990
47.739
47.200
61.313
128.578
41.075
33.708
26.300
46.191
71.183
60.689
6.534
56.067
18.648
85
49.943
23.362
27.974
69.855
27.714
220.691
75.72
93.00
30.291
145.680
81.057
9.111
74.92
40.37
72.199
198.770
97.109
63.356
64.549
50.506
44.329
28.025
15.830
64.266
18.213
124.181
90.243
86.447
48.615
82.82
139.77
128.729
39.720
26.744
14.025
148.970
24.040
145.503
124.107
90.116
43.89
129.125
154.334
98
97
25.901
86.773
86.368
21.243
