****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 326503 ******* 

Variable    Labels
ER77509    IMP WEALTH W/O EQUITY (WEALTH1) 2019    
ER77510    ACC WEALTH W/O EQUITY (WEALTH1) 2019    
ER77511    IMP WEALTH W/ EQUITY (WEALTH2) 2019     
ER77512    ACC WEALTH W/ EQUITY (WEALTH2) 2019     
ER78001    RELEASE NUMBER                          
ER78002    2021 FAMILY INTERVIEW (ID) NUMBER       
ER78016    # IN FU 2021                                 
ER81836    IMP WEALTH W/O EQUITY (WEALTH1) 2021    
ER81837    ACC WEALTH W/O EQUITY (WEALTH1) 2021    
ER81838    IMP WEALTH W/ EQUITY (WEALTH2) 2021     
ER81839    ACC WEALTH W/ EQUITY (WEALTH2) 2021     

*** End of labels ******************************* 
