FAMILY ID,IMP WEALTH W/ EQUITY,ACC WEALTH W/ EQUITY
289.0,192196.95677185748,0.0
2356.0,640656.5225728583,0.0
4097.0,-6799.420640513826,0.0
6880.0,113323.6773418971,0.0
1288.0,252334.05488129088,0.0
641.0,1510.982364558628,0.0
1299.0,2266.473546837942,0.0
7811.0,183131.0625845057,1.0
7971.0,60439.29458234512,0.0
1157.0,6043.929458234512,0.0
771.0,93680.90660263493,0.0
1654.0,874269.5059572677,1.0
624.0,194916.72502806303,0.0
1504.0,3021.964729117256,0.0
7566.0,7252.715349881414,0.0
12.0,-34525.94703016465,0.0
561.0,433651.9386283262,1.0
1202.0,1996007.7035819476,0.0
6475.0,-1359.884128102765,0.0
3444.0,65727.73285830031,0.0
724.0,31730.629655731187,0.0
345.0,38001.20646864949,1.0
825.0,2266.473546837942,0.0
474.0,-15637.15649081724,0.0
562.0,0.0,0.0
82.0,0.0,0.0
586.0,0.0,0.0
154.0,0.0,0.0
826.0,4532.947093675884,0.0
5267.0,17376.297192424223,0.0
571.0,37774.5591139657,0.0
1056.0,0.0,0.0
1394.0,15109.82364558628,1.0
104.0,0.0,0.0
181.0,128471.27554659735,1.0
523.0,4563.166740967056,0.0
4930.0,3021.964729117256,0.0
618.0,155933.3800224504,1.0
563.0,-7554.91182279314,0.0
6528.0,101084.72018897222,0.0
819.0,-12843.350098748338,0.0
644.0,357800.6239274831,1.0
1072.0,2527873.4959065844,1.0
29.0,425794.83033262135,0.0
234.0,79326.57413932797,0.0
1858.0,490313.7772992748,0.0
1019.0,181317.88374703535,0.0
735.0,214257.29929441345,0.0
6674.0,48502.53390233196,1.0
736.0,162430.60419005252,0.0
677.0,392855.4147852433,0.0
517.0,-604.3929458234512,0.0
1063.0,535492.1499995778,0.0
418.0,-37699.00999573777,0.0
3563.0,-6799.420640513826,0.0
1850.0,94436.39778491425,0.0
2514.0,3021.964729117256,0.0
2.0,457827.6564612643,0.0
2265.0,288219.8860395583,1.0
1457.0,2379797.2241798392,0.0
394.0,24175.717832938048,0.0
1057.0,299174.50818260835,0.0
4535.0,503157.12739802315,0.0
7237.0,52884.38275955198,1.0
6012.0,613458.840010803,0.0
6638.0,184339.8484761526,1.0
1321.0,83557.32476009213,1.0
5937.0,4532.947093675884,0.0
5647.0,1103018.637110163,1.0
16.0,379181.0243859877,0.0
465.0,36641.32234054673,0.0
7317.0,-11332.36773418971,0.0
1221.0,130699.97453432133,0.0
4407.0,19642.770739262163,0.0
3548.0,74038.13586337277,1.0
3752.0,72527.15349881415,0.0
4413.0,176784.93665335947,0.0
1475.0,10576.876551910396,0.0
7626.0,755.491182279314,0.0
276.0,100782.52371606049,1.0
5987.0,302.1964729117256,0.0
6291.0,260493.35964990748,1.0
716.0,500135.16266890586,1.0
614.0,1007825.2371606049,0.0
1400.0,184339.8484761526,0.0
1269.0,15191416.693272445,1.0
581.0,785710.8295704866,0.0
2564.0,38378.95205978915,0.0
514.0,193707.9391364161,0.0
6570.0,98213.85369631082,0.0
4515.0,-4531.4361113113255,0.0
7097.0,12087.858916469024,0.0
6479.0,-24931.209015217362,0.0
6203.0,-113323.6773418971,0.0
7332.0,4684.045330131747,0.0
7826.0,25686.700197496677,1.0
7660.0,42307.506207641585,0.0
6601.0,-7554.91182279314,0.0
4536.0,55604.15101575751,0.0
663.0,815.9304768616591,0.0
1163.0,-24175.717832938048,0.0
1597.0,2266.473546837942,0.0
5592.0,110150.61437632398,0.0
917.0,-45329.47093675884,0.0
3566.0,-56208.54396158096,0.0
1965.0,2813.4491628081655,0.0
5789.0,-25233.405488129087,1.0
1578.0,0.0,1.0
4997.0,2417.571783293805,0.0
1114.0,21623.668619198525,0.0
7474.0,75549.1182279314,0.0
1462.0,27953.173744334617,1.0
4773.0,1208.7858916469024,0.0
3398.0,39285.54147852433,0.0
3253.0,-2266.473546837942,0.0
4943.0,89147.95950895906,0.0
178.0,154724.5941308035,0.0
1251.0,-14352.821480942408,0.0
1312.0,408267.4349037413,0.0
5208.0,883924.6832667973,0.0
2516.0,908553.695809103,0.0
1523.0,45782.76564612643,0.0
3942.0,-1510.982364558628,0.0
1910.0,74793.62704565209,0.0
5476.0,462813.89826430776,1.0
5078.0,362333.571021159,0.0
5103.0,163941.58655461113,0.0
5049.0,82650.73534135695,0.0
4783.0,132966.44808115927,0.0
4848.0,11785.662443557298,1.0
3963.0,985160.5016922255,1.0
380.0,32335.02260155464,0.0
116.0,-15109.82364558628,1.0
300.0,433651.9386283262,0.0
4700.0,51373.400394993354,0.0
1510.0,31730.629655731187,0.0
5972.0,100646.53530325022,0.0
3069.0,3777.45591139657,0.0
2748.0,-3021.964729117256,0.0
2792.0,27197.682562055303,1.0
4017.0,5363.987394183129,0.0
5394.0,32962.08028284647,0.0
2076.0,36263.576749407075,0.0
6212.0,10576.876551910396,0.0
