Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2004:Q2,Next40,17864518,22510066,8808069,1615836,1536587,4249150,1807432,1250339,3242652,4645548,3738629,822701,84218
2004:Q2,Bottom50,1374203,4342110,2419920,828329,87990,208695,218147,84608,494420,2967907,1843974,1079294,44639
2004:Q3,TopPt1,5321337,5385529,629018,263693,1656566,33063,42976,1358479,1401734,64192,40834,7447,15911
2004:Q3,RemainingTop1,8807382,9380552,2156734,284094,2410156,198206,341527,1982938,2006897,573170,397933,30260,144977
2004:Q3,Next9,18881288,20577221,5382659,817472,3091555,4217285,1707213,1851184,3509853,1695933,1393151,180404,122378
2004:Q3,Next40,18178063,22967563,9127100,1629625,1515097,4310594,1814439,1289952,3280756,4789500,3870626,843220,75654
2004:Q3,Bottom50,1353627,4402065,2477565,832954,83445,208849,215967,88049,495236,3048438,1902860,1103544,42034
2004:Q4,TopPt1,5651384,5717309,638441,254334,1833468,42729,49904,1421810,1476623,65925,41285,7384,17256
2004:Q4,RemainingTop1,9167818,9730565,2208498,294837,2621623,220363,377296,1991953,2015995,562748,399245,31141,132362
2004:Q4,Next9,19742239,21539706,5613991,835953,3356718,4301760,1827078,1954492,3649714,1797467,1465770,185446,146251
2004:Q4,Next40,18718080,23612666,9395291,1654310,1590734,4374712,1939607,1286103,3371909,4894586,3937799,864401,92386
2004:Q4,Bottom50,1428998,4626227,2623350,858737,90484,212782,233523,95476,511875,3197229,2015050,1131748,50431
2005:Q1,TopPt1,5722342,5785545,648545,252537,1851126,52232,51129,1487969,1442006,63202,40613,6604,15985
2005:Q1,RemainingTop1,9249221,9809532,2261108,303323,2610395,240760,390653,2002405,2000888,560311,403493,32985,123833
2005:Q1,Next9,20159925,21972843,5856998,844248,3378004,4348440,1825755,2060510,3658888,1812918,1484930,184386,143602
2005:Q1,Next40,18963369,23919242,9642115,1673011,1582526,4401960,1922863,1282778,3413990,4955874,4015403,851453,89018
2005:Q1,Bottom50,1472644,4798764,2745507,881965,91683,216256,234543,102941,525869,3326120,2144580,1129547,51993
2005:Q2,TopPt1,5965662,6030907,660693,261928,1931324,61880,54887,1574141,1486054,65245,41033,6323,17889
2005:Q2,RemainingTop1,9464285,10026823,2320832,310673,2683761,261750,413976,2021820,2014010,562538,405902,34144,122492
2005:Q2,Next9,20772452,22664626,6131419,842852,3493329,4403454,1879873,2186140,3727558,1892173,1559519,187074,145580
2005:Q2,Next40,19302078,24348775,9883541,1693516,1604547,4436940,1969058,1281665,3479509,5046697,4096208,859609,90880
2005:Q2,Bottom50,1479013,4957810,2842179,909323,95154,219823,242814,110799,537718,3478797,2277036,1145239,56522
2005:Q3,TopPt1,6177016,6243345,671869,251089,2066150,71599,59763,1692772,1430103,66328,41480,6123,18725
2005:Q3,RemainingTop1,9728073,10288343,2379747,319190,2829615,282793,441399,2055622,1979977,560270,408223,35195,116852
2005:Q3,Next9,21420722,23397910,6381362,856008,3689266,4456344,1944753,2343749,3726428,1977188,1636888,191227,149073
2005:Q3,Next40,19690120,24837372,10180571,1705451,1650803,4469562,2035766,1283977,3511242,5147252,4178182,875888,93182
2005:Q3,Bottom50,1527554,5171432,2994294,926171,100571,223354,254087,119319,553636,3643878,2413217,1169952,60709
2005:Q4,TopPt1,6364892,6432486,681457,240328,2121084,81402,64123,1782609,1461483,67594,41758,5951,19885
2005:Q4,RemainingTop1,9921515,10484834,2430436,328470,2864774,304018,466881,2076855,2013400,563319,409128,36203,117988
2005:Q4,Next9,22002537,24043308,6609517,870728,3764496,4509858,2004512,2473051,3811146,2040771,1707477,195133,138161
2005:Q4,Next40,20081571,25303338,10445863,1720811,1657299,4502506,2091987,1283497,3601375,5221767,4245333,890823,85611
2005:Q4,Bottom50,1586127,5377957,3138305,945889,103110,226879,263849,127248,572677,3791830,2536701,1192444,62685
2006:Q1,TopPt1,6765415,6836668,680035,249349,2430943,91307,68306,1818629,1498099,71254,42562,5770,22922
2006:Q1,RemainingTop1,10355215,10914854,2422334,335329,3242316,325603,491701,2074511,2023059,559639,409712,37207,112720
2006:Q1,Next9,22716450,24870289,6704413,867361,4214435,4567787,2062998,2549085,3904210,2153839,1803854,197176,152809
