Date,Bottom50,Next40,Next9,RemainingTop1,TopPt1
2008Q4,678027000000,18911451000000,22318077000000,9478139000000,6181762000000
2009Q1,547117000000,18531589000000,21749749000000,9125485000000,5838017000000
2009Q2,514404000000,18610826000000,22029642000000,9386674000000,5807423000000
2009Q3,465049000000,18857120000000,22765986000000,9844042000000,6154475000000
2009Q4,424478000000,18899855000000,22926346000000,9924134000000,6120487000000
2010Q1,444592000000,19142969000000,23405129000000,10162393000000,6339504000000
2010Q2,402690000000,18990340000000,23211870000000,9906724000000,6258413000000
2010Q3,393328000000,19340585000000,24064596000000,10368167000000,6609363000000
2010Q4,372735000000,19631611000000,24667247000000,10773066000000,6925347000000
2011Q1,406873000000,19804147000000,25017130000000,11054639000000,7176896000000
2011Q2,412275000000,19927849000000,25123514000000,11094976000000,7269045000000
2011Q3,404768000000,19685946000000,24395065000000,10529460000000,6961714000000
2011Q4,402355000000,19962492000000,24883316000000,10811729000000,7220285000000
2012Q1,446017000000,20341817000000,25533994000000,11287397000000,7595062000000
2012Q2,476407000000,20441262000000,25483007000000,11182754000000,7632172000000
2012Q3,508666000000,20873556000000,26095832000000,11568253000000,7985654000000
2012Q4,575457000000,21162725000000,26366513000000,11689772000000,8114339000000
2013Q1,597947000000,21832537000000,27405589000000,12239276000000,8549875000000
2013Q2,653914000000,22223982000000,27750025000000,12311250000000,8628574000000
2013Q3,731063000000,22905505000000,28570762000000,12705239000000,8983024000000
2013Q4,770225000000,23375754000000,29353433000000,13197901000000,9267913000000
2014Q1,824933000000,23684803000000,29979042000000,13646924000000,9561202000000
2014Q2,887769000000,24061407000000,30687329000000,14139614000000,9909956000000
2014Q3,908010000000,24224607000000,30951626000000,14190896000000,9972991000000
2014Q4,916106000000,24461387000000,31533986000000,14564520000000,10257470000000
2015Q1,980835000000,24808375000000,32188094000000,14952203000000,10549082000000
2015Q2,987268000000,24936106000000,32446595000000,15082729000000,10630153000000
2015Q3,989172000000,24844010000000,32123500000000,14745035000000,10382305000000
2015Q4,1091183000000,25200870000000,32669221000000,15082580000000,10582441000000
2016Q1,1137216000000,25487346000000,33155450000000,15331843000000,10752165000000
2016Q2,1142829000000,25795517000000,33714508000000,15646345000000,11007797000000
2016Q3,1208567000000,26174234000000,34242818000000,15980413000000,11191813000000
2016Q4,1264278000000,26425981000000,34445030000000,16026427000000,11120217000000
2017Q1,1367620000000,27027588000000,35344871000000,16513375000000,11408468000000
2017Q2,1431766000000,27460937000000,36036750000000,16844607000000,11663238000000
2017Q3,1494369000000,27935496000000,36678286000000,17155725000000,11793133000000
2017Q4,1567926000000,28474662000000,37598777000000,17708576000000,12121846000000
2018Q1,1684572000000,28906624000000,38029095000000,17833824000000,12136010000000
2018Q2,1741868000000,29250417000000,38527202000000,18035730000000,12240977000000
2018Q3,1778674000000,29701484000000,39302415000000,18468033000000,12517060000000
2018Q4,1771146000000,29288555000000,38078991000000,17333141000000,11626093000000
2019Q1,1913689000000,30442596000000,40307338000000,18792253000000,12649988000000
2019Q2,1946131000000,30887527000000,41125033000000,19162932000000,12944382000000
2019Q3,2007389000000,31173129000000,41418877000000,19202587000000,12873736000000
2019Q4,2086380000000,31870882000000,42617699000000,20055053000000,13416177000000
2020Q1,2093493000000,31231798000000,40464510000000,18248282000000,12115608000000
2020Q2,2322482000000,32755471000000,43168395000000,20238115000000,13400881000000
2020Q3,2462227000000,33640823000000,44606891000000,21221231000000,14104469000000
2020Q4,2686518000000,35191387000000,47412676000000,23286411000000,15602044000000
2021Q1,2905986000000,36293770000000,49051013000000,24473084000000,16386390000000
2021Q2,3033453000000,37769131000000,51279738000000,25971593000000,17503306000000
2021Q3,3191086000000,38654213000000,52337633000000,26478035000000,18006254000000
2021Q4,3272913000000,39450947000000,53650545000000,27279970000000,18636071000000
2022Q1,3629061000000,40788208000000,54297626000000,27200363000000,18536598000000
2022Q2,3693290000000,40597799000000,52360285000000,25245660000000,17152653000000
2022Q3,3465458000000,39752441000000,51432675000000,24701285000000,16895448000000
2022Q4,3312041000000,39762499000000,52023687000000,25240065000000,17304315000000
2023Q1,3357428000000,40226341000000,53029835000000,26054016000000,17918414000000
2023Q2,3638332000000,41741148000000,54808044000000,27145640000000,18625162000000
